structure,gap_class,band_gap,stability,coverage_score,mlip_stability
Cs3InGaI9,0.76,1.100625,-0.0006168812244309,1.0,0.0098090337424885
Cs3InGeI4Br5,0.92,1.3017957,-0.003493692863973,0.38,0.0130539255583776
Cs3InNiBr9,0.5599999999999999,1.0645653,-0.0414420016311705,1.0,0.0013686629534085
Cs3InPbBr9,0.76,1.12751,-0.0476002090168661,1.0,0.0066712973276482
Cs3InSbBr8Cl,0.8800000000000001,2.046502,-0.0206118890256143,0.38,0.0005982210301136
Cs3InSbBr9,0.8,1.8554615,-0.0257836037674152,1.0,-0.0090070116186924
Cs3InSnBr8Cl,0.8400000000000001,1.4957514,-0.018042627562339,0.44,0.005883955532308
Cs3InSnBr9,0.8400000000000001,1.3898929,-0.0242745556656076,1.0,-0.0024824788022878
Cs3InSnI9,0.92,1.1590338,0.0054673195515284,0.4,0.0087119406020215
Cs3Mn2(Br2Cl)3,0.8400000000000001,1.2729397,-0.0196953216340241,1.0,0.0089323871816903
Cs3Mn2(I2Br)3,0.8,1.3378923,-0.0249122740963985,1.0,0.021954428158308
Cs3Mn2(IBr2)3,0.8400000000000001,1.2597198,-0.0087608951748152,1.0,0.0119322269850723
Cs3Mn2Br4Cl5,0.92,1.1569436,-0.0150535381715213,1.0,0.0049253505224933
Cs3Mn2Br5Cl4,0.8800000000000001,1.2153802,-0.0171797285634449,1.0,0.0055917370575964
Cs3Mn2Br7Cl2,0.72,1.2245464,-0.0267515112030798,1.0,0.0116327761341831
Cs3Mn2Br8Cl,0.56,1.2992618,-0.0321311413238942,1.0,0.015956022904076
Cs3Mn2I2Br7,0.72,1.1524595,-0.0153161588032064,1.0,0.0128105928366998
Cs3Mn2I4Br5,0.8800000000000001,1.2845958,-0.0135215183672101,1.0,0.0157565116223898
Cs3Mn2I5Br4,0.8400000000000001,1.2929167,-0.0194892384643325,1.0,0.0195540669958627
Cs3Mn2I9,0.68,1.2089226,-0.0422274037466783,1.0,0.0330185386010269
Cs3MnCoBr7Cl2,0.64,0.9355877,-0.0032469642273609,0.365,0.0260060910631384
Cs3MnFe(Br2Cl)3,0.8,1.0094266,-0.0143327009002511,0.365,0.0176376383391301
Cs3MnGaBr9,0.52,1.2488489,-0.0354431648717503,1.0,0.0031351801824505
Cs3MnInBr9,0.52,1.4620005,-0.0415109245234848,1.0,-0.0014141995089016
Cs3MnNi(Br2Cl)3,0.8800000000000001,0.99212897,-0.000406586492827,0.41,0.013317329413719
Cs3MnNiBr9,0.5599999999999999,0.9407713,-0.0128797295662506,0.925,0.0149870312957817
Cs3MnNiI2Br7,0.72,0.9521898,-0.0038557291713727,0.41,0.0166390008520989
Cs3MnVI2Br7,0.76,1.0601342,-0.0104468290425312,0.425,0.006431076227709
Cs3ScAg(Br2Cl)3,0.76,1.7501141,-0.0039826998011562,0.365,0.006660569080312
Cs3ScAg(I2Br)3,0.76,1.5730656,-0.03274466607098,0.365,0.023126997410366
Cs3ScAg(IBr2)3,0.8800000000000001,1.8400902,-0.0087556084252231,0.365,0.0189806228764312
Cs3ScAgBr7Cl2,0.8,1.8679899,-0.0298775975699168,0.365,0.0024127868872827
Cs3ScAgI2Br7,0.8,1.7569643,-0.0121926951386477,0.365,0.01446113197441
Cs3ScAgI4Br5,0.8800000000000001,1.824179,-0.0113394464811804,0.365,0.0157856484603027
Cs3ScAgI5Br4,0.8,1.6555836,-0.0187090995329848,0.365,0.0223732420018747
Cs3ScAgI7Br2,0.8400000000000001,1.4691452,-0.0376449814672965,0.365,0.0226704718802805
Cs3ScCoBr7Cl2,0.8,1.0594227,-0.0056450997690278,0.305,0.0144757193833474
Cs3ScCu(Br2Cl)3,0.8,1.4212309,-0.0293023995574368,0.365,0.0117954592395159
Cs3ScCu(BrCl2)3,0.76,1.3130643,0.0031345183864504,0.365,0.0099109241361396
Cs3ScCu(I2Br)3,0.8400000000000001,1.3718766,-0.0615105541201073,0.35,0.0217064022014873
Cs3ScCu(IBr2)3,0.8800000000000001,1.5480444,-0.035889834773044,0.35,0.0196790902540287
Cs3ScCuBr4Cl5,0.76,1.2565796,-0.0105649261426037,0.365,0.0089788690378927
Cs3ScCuBr7Cl2,0.7200000000000001,1.43343,-0.0554193073554156,0.365,0.0145752629122872
Cs3ScCuI2Br7,0.76,1.3745778,-0.0521477723733005,0.35,0.0253179779842753
Cs3ScCuI4Br5,0.8400000000000001,1.4902258,-0.0415860123675797,0.35,0.0205289321004281
Cs3ScCuI5Br4,0.72,1.4191408,-0.0404146805406129,0.35,0.0248780588087928
Cs3ScCuI7Br2,0.8,1.3138132,-0.069280339295302,0.35,0.033369106618633
Cs3ScCuI7Cl2,0.72,1.3082637,-0.0333926889789948,0.365,0.0390216548809594
Cs3ScFeI2Br7,0.68,1.1090058,-0.0400311476159058,0.29,0.0201896112317661
Cs3ScInBr7Cl2,0.92,2.9045193,-0.0240878767010539,0.32,-0.0088699217053788
Cs3ScInBr8Cl,0.8800000000000001,2.7421534,-0.0317015353189624,0.32,-0.0100255179796492
Cs3ScMn(Br2Cl)3,0.68,1.9458363,-0.019026050520372,0.365,0.0073893315197852
Cs3ScMn(I2Br)3,0.76,1.6155291,-0.0328766591615876,0.35,0.0277075752145676
Cs3ScMn(IBr2)3,0.8400000000000001,1.6321211,-0.0304852336374301,0.35,0.0153326518247278
Cs3ScMnBr4Cl5,0.8400000000000001,2.04732,-0.0063721962220759,0.365,0.0039896308284332
Cs3ScMnI2Br7,0.8,1.8517231,-0.031769904407503,0.35,0.0131969361103623
Cs3ScMnI4Br5,0.8400000000000001,1.7190907,-0.0326340777745466,0.35,0.0210259963221029
Cs3ScMnI5Br4,0.68,1.4055516,-0.0300697494512189,0.35,0.0169995847935204
Cs3ScMnI7Br2,0.8,1.4993004,-0.0404431754681997,0.35,0.0212155502189332
Cs3ScMnI7Cl2,0.8400000000000001,1.5797198,-0.0267169268125126,0.365,0.0284257333769312
Cs3ScNi(Br2Cl)3,0.8400000000000001,1.1556952,-0.0201624749581885,0.365,0.0168056899820278
