structure,gap_class,band_gap,stability,coverage_score,mlip_stability
Cs2K4Ag3Bi(Cl2O)6,0.72,0.9941473,0.4423089851106121,0.2399999999999999,0.1043225371444671
Cs2K4Ag3Mo(Cl2O)6,0.8,1.0516589,0.6043049747399143,0.2628571428571428,0.08490707282715244
Cs2K4Ag3Pb(Cl2O)6,0.8800000000000001,1.1520798,0.3849695152404276,0.2285714285714285,0.09041165614926075
Cs2K4Ba3Ca(SBr2)6,0.5599999999999999,1.8312289,0.4748358498585034,0.1085714285714285,0.2453384520958921
Cs2K4Ba3Ca(SCl2)6,0.72,1.8451446,0.5790862422407559,0.1128571428571428,0.265382627699512
Cs2K4Ba3Sr(SBr2)6,0.72,1.8097368,0.4843086112768695,0.0928571428571428,0.23987613751980885
Cs2K4Ba3Sr(SCl2)6,0.6799999999999999,1.946023,0.5871020829584865,0.1014285714285714,0.2922587833148082
Cs2K4Ba3Sr(SI2)6,0.2799999999999999,1.3542058,0.3108861675568415,0.0885714285714285,0.27127757646198236
Cs2K4BaZr3(I7O2)2,0.7200000000000001,2.1360042,0.4985641408873078,0.1442857142857142,0.07088549268235571
Cs2K4Ca3Si(I2O)6,0.76,1.9324582,0.7377066420748177,0.14,0.11487784188693254
Cs2K4Ca3Te(Cl2O)6,0.4800000000000001,1.1435622,0.4678118498951902,0.1942857142857142,0.14662157857344463
Cs2K4Co3Ni(SI2)6,0.8400000000000001,0.79600555,0.3393207855078799,0.1285714285714285,0.07874158465690441
Cs2K4Co3Si(SI2)6,0.8400000000000001,0.9611025,0.2784505264120094,0.1285714285714285,0.0922489535742862
Cs2K4CoAg3(Cl2O)6,0.8800000000000001,1.1484119,0.4560128224222599,0.2171428571428571,0.0901597573016246
Cs2K4CoMo3(I2O)6,0.36,1.0104036,1.3363911086882343,0.2242857142857142,0.2960178828461499
Cs2K4CrAg3(Cl2O)6,0.8800000000000001,1.0648029,0.4870175473681107,0.2514285714285714,0.07440722737241204
Cs2K4CrMo3(I2O)6,0.52,0.96158636,1.1896193083745192,0.2242857142857142,0.1408212072429428
Cs2K4Cu3Ge(Br7Cl2)2,0.64,0.77806914,-0.0103065960149966,0.22,0.02409428728801852
Cs2K4Fe3Ag(Br7Cl2)2,0.8400000000000001,0.84426105,-0.0064327000634352,0.2171428571428571,0.01619436061872286
Cs2K4Fe3Cu(Br2Cl)6,0.8,0.792859,-0.0059270621317513,0.2285714285714285,0.01816118282378528
Cs2K4Fe3Cu(Br7Cl2)2,0.8,0.78596044,-0.0142114316077526,0.2285714285714285,0.020477595532291983
Cs2K4Fe3Ge(SI2)6,0.92,0.86005896,0.2629722563054469,0.14,0.09076888371098715
Cs2K4Fe3Te(SI2)6,0.8800000000000001,0.8341311,0.2652038362285558,0.1285714285714285,0.06135019381951162
Cs2K4FeCo3(SI2)6,0.8400000000000001,0.8441453,0.3371374675321043,0.1357142857142857,0.09430412844978342
Cs2K4FeMo3(I2O)6,0.8,0.9692028,0.8427982652405006,0.2014285714285714,0.0486704427173906
Cs2K4FeMo3(I7O2)2,0.8400000000000001,1.0553178,0.8087411610540206,0.2014285714285714,0.07039974803853366
Cs2K4Mn3Co(Br2Cl)6,0.8,1.004263,-0.0066287426049069,0.2128571428571428,0.018987491241467872
Cs2K4Mn3Co(Br7Cl2)2,0.8400000000000001,1.0235342,-0.0099809901204435,0.2128571428571428,0.018450537163559
Cs2K4Mn3Cr(Br2Cl)6,0.8400000000000001,0.9500135,-0.0111450547334035,0.2128571428571428,0.010831823412538084
Cs2K4Mn3Cu(Br7Cl2)2,0.76,0.92400473,-0.0176975206643548,0.2242857142857142,0.015777084680494467
Cs2K4Mn3Fe(Br2Cl)6,0.8400000000000001,1.019368,-0.0119097582711666,0.2128571428571428,0.01699034319634432
Cs2K4Mn3Fe(Br7Cl2)2,0.76,1.1216375,-0.0169507177168464,0.2128571428571428,0.01937380987693488
Cs2K4Mn3Fe(I2Br7)2,0.68,1.082309,-0.0150974931445284,0.1857142857142857,0.022796083608338624
Cs2K4Mn3Ni(Br2Cl)6,0.8400000000000001,1.0606458,-0.0119053966715307,0.22,0.016642738140033704
Cs2K4Mn3Ni(Br5Cl4)2,0.76,1.1196178,-0.0069458488571878,0.22,0.018715467925076494
Cs2K4Mn3Ni(Br7Cl2)2,0.8400000000000001,1.0417079,-0.0148012262001773,0.22,0.019184004616071705
Cs2K4Mn3Ni(I2Br7)2,0.64,1.0873848,-0.0098165457443333,0.22,0.026998147922052487
Cs2K4Mn3V(Br7Cl2)2,0.76,1.0638664,-0.0156837636969113,0.22,0.01022742117297068
Cs2K4MnCu3(Br7Cl2)2,0.72,0.7967003,-0.0147664239108729,0.2242857142857142,0.024191218620737517
Cs2K4MnFe3(Br7Cl2)2,0.8,0.951402,-0.0135010473976582,0.2128571428571428,0.021047538347265627
Cs2K4MnMo3(I2O)6,0.8,1.1474272,0.9291575612846656,0.2128571428571428,0.040075155705561714
Cs2K4MnMo3(I7O2)2,0.64,1.1703131,0.6618126458188883,0.2128571428571428,0.052284433047313665
Cs2K4MnNi3(Br7Cl2)2,0.72,0.9088343,-0.0175779787449705,0.22,0.03431707533376753
Cs2K4Mo3Se(I2O)6,0.68,1.0375855,1.0191454185368876,0.1714285714285714,0.10333300163969755
